[2023-03-19T01:25:12.710] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-19T23:53:21.876] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-23T13:48:43.923] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/?, Metodo GET
[2023-03-24T08:39:23.060] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-24T09:29:48.197] [WARN] warnArchive - Estado: 404, Ruta consultada: /api, Metodo GET
[2023-03-24T09:32:03.696] [WARN] warnArchive - Estado: 404, Ruta consultada: /main.js, Metodo GET
[2023-03-24T09:47:49.919] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos/, Metodo GET
[2023-03-24T10:16:27.751] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos/1, Metodo GET
[2023-03-24T10:16:45.168] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos/1, Metodo GET
[2023-03-24T10:16:54.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos/1, Metodo GET
[2023-03-29T13:45:33.659] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-29T13:46:51.268] [WARN] warnArchive - Estado: 404, Ruta consultada: /noticias, Metodo GET
[2023-03-29T13:47:04.460] [WARN] warnArchive - Estado: 404, Ruta consultada: /noticias, Metodo GET
[2023-03-29T13:47:16.102] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:49:23.809] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:49:25.462] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:49:27.612] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:49:41.472] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:50:29.669] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo GET
[2023-03-29T13:50:38.167] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql, Metodo POST
[2023-03-29T13:50:56.218] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphql/products, Metodo POST
