2023-02-13T22:00:51.488Z error: Error en la api de mensajes, faltan campos
2023-02-13T22:15:46.165Z error: Error en la api de mensajes, faltan campos
2023-02-13T22:15:53.986Z error: Error en la api de mensajes, faltan campos
2023-02-13T22:16:01.986Z error: Error en la api de mensajes, faltan campos
2023-03-02T00:40:11.374Z error: Error en la api de productos, faltan campos
2023-03-02T00:40:38.034Z error: Error en la api de productos, faltan campos
2023-03-02T00:40:42.613Z error: Error en la api de productos, faltan campos
2023-03-02T00:41:18.087Z error: Error en la api de productos, faltan campos
2023-03-02T00:42:05.568Z error: Error en la api de productos, faltan campos
2023-03-02T00:42:16.257Z error: Error en la api de productos, faltan campos
2023-03-02T00:44:56.467Z error: Error en la api de productos, faltan campos
2023-03-02T00:45:12.619Z error: Error en la api de productos, faltan campos
2023-03-02T00:47:11.670Z error: Error en la api de productos, faltan campos
2023-03-02T00:48:54.088Z error: Error en la api de productos, faltan campos
2023-03-02T00:53:56.353Z error: Error en la api de productos, faltan campos
2023-03-02T00:54:00.647Z error: Error en la api de productos, faltan campos
2023-03-02T00:57:11.731Z error: Error en la api de productos, faltan campos
2023-03-02T11:34:33.948Z error: Error en la api de productos, faltan campos
2023-03-02T11:40:43.627Z error: Error en la api de productos, faltan campos
2023-03-02T11:40:45.593Z error: Error en la api de productos, faltan campos
2023-03-02T11:41:29.859Z error: Error en la api de productos, faltan campos
2023-03-02T11:41:32.766Z error: Error en la api de productos, faltan campos
2023-03-02T12:49:25.925Z error: Error en la api de productos, faltan campos
2023-03-02T12:55:13.343Z error: Error en la api de productos, faltan campos
2023-03-02T21:39:20.134Z error: Fallo la lectura 
2023-03-02T21:46:26.876Z error: Fallo la lectura 
2023-04-22T21:06:00.325Z error: Error en la api de productos, faltan campos
2023-04-22T21:06:06.093Z error: Error en la api de productos, faltan campos
2023-04-22T21:06:13.516Z error: Error en la api de productos, faltan campos
2023-04-22T21:06:13.908Z error: Error en la api de productos, faltan campos
2023-04-22T21:06:14.100Z error: Error en la api de productos, faltan campos
2023-04-22T21:06:14.290Z error: Error en la api de productos, faltan campos
2023-04-22T21:07:16.716Z error: Error en la api de productos, faltan campos
2023-04-22T21:08:00.334Z error: Error en la api de productos, faltan campos
2023-04-22T21:08:29.856Z error: Error en la api de productos, faltan campos
